feature,importance
player_JON BROCKMAN,0.0
player_JOHNNY OBRYANT,0.0
player_JOHN WALL,0.0
player_JOHN JENKINS,0.0
player_JOHN HENSON,0.0
player_JIMMY BUTLER,0.0
player_JORDAN HILL,0.0
player_JIMMER FREDETTE,0.0
player_JERIAN GRANT,0.0
player_JEREMY LAMB,0.0
player_JEREMY EVANS,0.0
player_JERAMI GRANT,0.0
player_JEFF WITHEY,0.0
player_JEFF TEAGUE,0.0
player_JEFF AYRES,0.0
player_JORDAN HAMILTON,0.0
player_JORDAN WILLIAMS,0.0
player_LARRY SANDERS,0.0
player_KENNETH FARIED,0.0
player_KYRIE IRVING,0.0
player_KYLE OQUINN,0.0
player_KYLE ANDERSON,0.0
player_KRIS DUNN,0.0
player_KLAY THOMPSON,0.0
player_KJ MCDANIELS,0.0
player_KIM ENGLISH,0.0
player_KENTAVIOUS CALDWELL-POPE,0.0
player_KENDALL MARSHALL,0.0
player_JOSH HARRELLSON,0.0
player_KEMBA WALKER,0.0
player_KELLY OUBRE,0.0
player_KELLY OLYNYK,0.0
player_KAWHI LEONARD,0.0
player_KARL-ANTHONY TOWNS,0.0
player_JUSTISE WINSLOW,0.0
player_JUSTIN ANDERSON,0.0
player_JRUE HOLIDAY,0.0
position_SG-SF,0.0
