feature,importance
Unnamed: 64_C,0.0
type_all,0.0
ht_Jun-00,0.0
ht_Jul-00,0.0
ht_9-May,0.0
conf_MVC,0.0
conf_MAC,0.0
school_Providence,0.0
school_Tennessee Martin,0.0
school_VCU,0.0
school_Utah,0.0
school_UTEP,0.0
school_USC,0.0
school_UNLV,0.0
school_UCLA,0.0
school_UC Santa Barbara,0.0
school_Texas,0.0
school_Tennessee,0.0
school_Villanova,0.0
school_Temple,0.0
school_Syracuse,0.0
school_Stanford,0.0
school_St. Bonaventure,0.0
school_South Dakota St.,0.0
school_Seton Hall,0.0
school_San Diego St.,0.0
school_Purdue,0.0
school_Vanderbilt,0.0
school_Virginia,0.0
conf_Horz,0.0
conf_ACC,0.0
conf_CUSA,0.0
conf_CAA,0.0
conf_BW,0.0
conf_BSky,0.0
conf_BE,0.0
conf_B12,0.0
conf_B10,0.0
conf_Amer,0.0
conf_A10,0.0
school_Wake Forest,0.0
school_Xavier,0.0
school_Wyoming,0.0
school_Wisconsin,0.0
school_Wichita St.,0.0
school_Western Kentucky,0.0
school_Weber St.,0.0
school_Washington St.,0.0
school_Washington,0.0
player_SOLOMON HILL,0.0
player_MARCUS SMART,0.0
player_SHABAZZ NAPIER,0.0
player_DERRICK FAVORS,0.0
player_EKPE UDOH,0.0
player_ED DAVIS,0.0
player_EARL CLARK,0.0
player_DRAYMOND GREEN,0.0
player_DORON LAMB,0.0
player_DOMANTAS SABONIS,0.0
player_DION WAITERS,0.0
player_DEVIN BOOKER,0.0
player_DERRICK WILLIAMS,0.0
player_DERRICK CARACTER,0.0
player_JAMES HARDEN,0.0
player_DERRICK BROWN,0.0
player_DENZEL VALENTINE,0.0
player_DEMARRE CARROLL,0.0
player_DEMARCUS COUSINS,0.0
player_DEMAR DEROZAN,0.0
player_DEJUAN BLAIR,0.0
player_DARRUN HILLIARD,0.0
player_DARREN COLLISON,0.0
player_DARIUS MILLER,0.0
player_ELFRID PAYTON,0.0
player_ERIC BLEDSOE,0.0
player_ERIC MAYNOR,0.0
player_ETWAUN MOORE,0.0
player_JAKOB POELTL,0.0
player_JAJUAN JOHNSON,0.0
player_JAHLIL OKAFOR,0.0
player_JAE CROWDER,0.0
player_JABARI PARKER,0.0
player_ISAIAH WHITEHEAD,0.0
player_ISAIAH THOMAS,0.0
player_IMAN SHUMPERT,0.0
player_HASHEEM THABEET,0.0
player_HARRISON BARNES,0.0
