feature,importance
pick,0.21560422982998573
dbpm,0.03299579051447524
bpm,0.027230536704609766
gbpm,0.025473124701330604
Rec Rank,0.025023562085509505
drtg,0.023926288492772056
rimmade/(rimmade+rimmiss),0.02100906525236013
tov_pct,0.01768414193321968
lane_agility_sec,0.016684468073614973
rimmade+rimmiss,0.015518295715650903
obpm,0.015237652413184023
pid,0.013897985988580436
ast_pct,0.013541391249817918
rimmade,0.012605381742243803
dreb,0.012439380765338758
ftr,0.012037264811940014
ft_pct,0.01190016737217289
stl_pg,0.011776232479872131
fta,0.01167255920486818
oreb,0.011454795097654479
trb_pg,0.011126368053093924
dunksmade,0.0106957475410302
ortg,0.010472274961018761
stl_per,0.010332064143747006
ast_pg,0.010288410584799634
fg3_pct,0.01015429371467488
usg,0.009892026001713218
bmi,0.009695881020162146
ftm,0.009663696076569007
mpg,0.009542966383718324
three_quarter_sprint_sec,0.009463368339554025
adrtg,0.009295638792384165
pts_pg,0.009165727463647131
ast/tov,0.009109173621064
blk_pg,0.008896929560780092
minutes,0.008680457423099837
Min_per,0.008663346974664704
orb_pct,0.008601051652943125
dgbpm,0.008388559686001341
midmade/(midmade+midmiss),0.008387774455809315
twop_pct,0.008345455202027542
height_w_shoes_in,0.008231797905075097
num,0.007939645995416453
standing_reach_plus_max_vert_in,0.007881459342297998
drb_pct,0.007377417215291679
pfr,0.007280710127022959
twopm,0.0072539078370781555
stops,0.007101276308343153
dporpag,0.006980299396076664
midmade+midmiss,0.0066949402679262445
weight_lbs,0.006648393566935684
gp,0.006519511711475872
fgm,0.006495265890493055
dunksmade/(dunksmade+dunksmiss),0.006413068469629682
twopa,0.006265417661911651
porpag,0.0062110056234145035
adjoe,0.005956451080046962
Unnamed: 65,0.0058216131433925815
wingspan_in,0.005784435381251063
blk_per,0.005641379260865637
dunksmiss+dunksmade,0.005395881300518938
ts_pct,0.005237078803730139
fga,0.004942795847320231
midmade,0.004881369798638256
fg3a,0.004618163308623481
body_fat_pct,0.0045550491545740205
hand_length_in,0.004224602127009499
ht_11-Jun,0.004181072922939574
vert_max_in,0.004127369925576947
shuttle_run_sec,0.003738190317327662
ts_pct_given,0.003630101593637977
vert_no_step_in,0.003579454057343512
efg_pct,0.003555308076563985
conf_P10,0.0033322517508273725
fg3m,0.003132634376992088
draft_year,0.003117724751212792
standing_reach_in,0.00309670527760995
ogbpm,0.0030677167462903835
standing_reach_plus_vert_in,0.002993473940915506
bench_reps,0.0029602996237353186
pan,0.0029210197647638932
efg_pct_given,0.0026286740320433767
hand_width_in,0.002530818293720736
player_KARL-ANTHONY TOWNS,0.0024715517109868477
player_TYREKE EVANS,0.0022685171250397536
position_PG-SG,0.0022289142958805356
player_JORDAN CLARKSON,0.0017924512366125833
yr_So,0.0015483754048701115
conf_B12,0.0014298993682709178
player_KENNETH FARIED,0.001380865139564711
player_DARREN COLLISON,0.0013254509431035715
yr_Fr,0.0010983271550242515
conf_ACC,0.0009913174547899444
school_UCLA,0.000883495128966064
