model,MAE,RMSE,R2
linear_baseline,3.264776867542962,4.245037803768918,-0.2429101444258487
ridge_cv,3.022753323231797,3.8966832895750123,0.036000950908226415
lasso_cv,2.9824093893670107,3.83214789046718,0.06766731556856276
