player,school,conf,gp,Min_per,ortg,usg,efg_pct_given,ts_pct_given,orb_pct,drb_pct,ast_pct,tov_pct,ftm,fta,ft_pct,twopm,twopa,twop_pct,fg3m,fg3a,fg3_pct,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,draft_year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mpg,ogbpm,dgbpm,oreb,dreb,trb_pg,ast_pg,stl_pg,blk_pg,pts_pg,Unnamed: 64,Unnamed: 65,minutes,fgm,fga,efg_pct,ts_pct,position,height_w_shoes_in,weight_lbs,bmi,body_fat_pct,wingspan_in,standing_reach_in,hand_length_in,hand_width_in,vert_no_step_in,vert_max_in,lane_agility_sec,shuttle_run_sec,three_quarter_sprint_sec,bench_reps,BAR,PAN,PBHGT,PDHGT,rookie_per,usage_proxy_per40,ws_ratio,reach_ratio,power_to_weight,bmi_like,shooting_split
DION WAITERS,Syracuse,BE,37,60.0,115.9,25.4,0.534,0.5653,2.4,8.2,21.2,12.9,86,118,0.729,129,244,0.529,41,113,0.363,1.5,4.6,33.1,So,4-Jun,3.0,3.80116,129.992,3.1,2012,14983,all,96.0,1.91667314,90.0,144.0,39.0,100.0,0.625,0.39,26.0,29.0,0.8966,4.0,92.5144,87.8998,3.20202,172.467,8.0106,6.20125,1.80935,9.86572,24.0811,5.86491,4.00081,0.4865,1.8108,2.2973,2.4865,1.8108,0.3243,12.6216,Scoring PG,7.73238,891.0006999999999,170,357,0.5336134453781513,0.5653,SG,74.5,221.0,28.0,0.085,79.25,98.0,8.5,9.5,,,,,,,106.4%,80.8,,,10.6,,1.063758389261745,1.3154362416107384,,0.03981802621503536,0.30165168067226894
DOMANTAS SABONIS,Gonzaga,WCC,35,79.9,120.0,26.0,0.612,0.6509,11.6,28.2,11.4,18.5,149,194,0.768,224,364,0.615,5,14,0.357,2.7,1.1,51.3,So,11-Jun,11.0,4.95322,131.645,4.0,2016,33822,all,60.2,0.68477518,157.0,214.0,67.0,149.0,0.7336,0.4497,22.0,24.0,0.9167,11.0,90.7655,88.0512,4.53415,263.303,7.50443,3.90304,3.60139,7.6708,32.0571,5.39611,2.27469,3.0286,8.8,11.8286,1.8,0.6,0.8857,17.4857,PF/C,0.730373,1121.9985,229,378,0.6124338624338624,0.6509,,,,,,,,,,,,,,,,,,,,7.7,,,,,,0.3986332010582011
DORON LAMB,Kentucky,SEC,40,78.1,127.4,18.1,0.5770000000000001,0.6242,1.5,7.7,8.8,11.6,123,149,0.826,99,206,0.481,76,163,0.466,0.2,0.9,40.4,So,4-Jun,20.0,4.9904,130.406,2.3,2012,15371,all,95.4,1.36363633,52.0,79.0,47.0,127.0,0.6582,0.3701,0.0,0.0,,42.0,99.2084,94.3869,3.46308,165.412,6.18418,6.58249,-0.398314,6.27721,31.225,5.20639,1.07082,0.375,2.325,2.7,1.5,0.475,0.05,13.725,Wing G,7.78412,1249.0,175,369,0.5772357723577236,0.6242,SG-PG,75.25,199.4,24.8,0.067,78.75,98.5,8.5,8.8,29.0,33.5,11.12,,3.41,2.0,104.7%,74.4,127.5,132.0,2.2,,1.0465116279069768,1.308970099667774,0.33600802407221664,0.03521373936270019,0.36031056910569104
DRAYMOND GREEN,Michigan St.,B10,37,82.8,107.3,28.2,0.504,0.5422,8.2,28.5,24.2,19.7,125,173,0.723,160,338,0.473,52,134,0.388,3.4,2.7,36.7,Sr,7-Jun,23.0,4.64124,124.752,3.4,2012,8827,all,86.4,1.25893629,101.0,165.0,59.0,173.0,0.6121,0.341,13.0,14.0,0.9286,35.0,83.1827,77.9306,5.56188,304.211,11.3117,4.6544,6.65732,11.033,33.2162,5.98404,5.04892,2.1351,8.4865,10.6216,3.8108,1.4595,0.973,16.2432,Stretch 4,6.63109,1228.9994,212,472,0.5042372881355932,0.5422,PF-SF,77.75,235.6,27.4,0.113,85.25,105.0,9.0,9.5,28.0,33.0,11.01,,3.4,9.0,109.6%,85.5,133.0,138.0,4.7,,1.0964630225080385,1.3504823151125402,1.2606112054329373,0.03897395601782446,0.27339745762711865
ETWAUN MOORE,Purdue,B10,34,84.4,112.1,26.8,0.518,0.5455,5.1,12.5,20.9,11.9,100,141,0.709,151,319,0.473,70,175,0.4,1.6,2.2,28.5,Sr,4-Jun,33.0,5.07602,128.26,2.5,2011,201,all,95.0,1.77052561,44.0,77.0,107.0,242.0,0.5714,0.4421,4.0,4.0,1.0,55.0,93.8872,88.3413,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,Combo G,9.19112,1152.0015999999998,221,494,0.5182186234817814,0.5455,SG,74.5,191.4,24.2,0.076,81.5,99.5,9.0,10.0,32.0,34.5,11.12,,3.31,,109.4%,90.0,131.5,134.0,2.6,,1.0939597315436242,1.3355704697986577,,0.03448493311112112,0.2826882591093117
EARL CLARK,Louisville,BE,37,85.4,100.3,24.6,0.49200000000000005,0.5167,9.1,18.7,18.2,22.0,90,139,0.647,171,347,0.493,31,95,0.326,4.1,1.7,31.4,Jr,9-Jun,,3.19342,111.212,2.2,2009,365,all,96.0,1.0,,,,,,,,,,14.0,88.6298,82.7262,5.16034,265.066,6.6726,1.81849,4.8541,5.72521,34.2703,2.77433,2.95088,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892,,4.31868,1268.0011,202,442,0.4920814479638009,0.5167,SF-PF,80.5,228.4,24.8,0.052,86.5,109.5,,,28.5,33.0,11.17,,3.35,5.0,107.5%,,138.0,142.5,2.3,,1.0745341614906831,1.360248447204969,0.7224168126094571,0.035245553798078776,0.2542584841628959
ED DAVIS,North Carolina,ACC,23,43.0,112.0,21.5,0.578,0.6065999999999999,10.8,24.2,6.8,18.3,87,132,0.659,111,192,0.578,0,0,0.0,9.5,0.9,68.8,So,10-Jun,32,3.20793,117.857,2.6,2010,6808,all,98.2,0.47825,42.0,50.0,61.0,132.0,0.84,0.4621,26.0,27.0,0.963,13.0,92.5656,87.8784,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,C,0.0,641.0007999999999,111,192,0.578125,0.6065999999999999,PF,81.0,226.6,24.3,0.1,84.0,108.0,9.25,10.0,31.0,36.0,11.7,,3.21,,103.7%,92.5,139.0,144.0,13.0,,1.037037037037037,1.3333333333333333,,0.03453741807651273,0.350690625
EKPE UDOH,Baylor,B12,35,88.0,110.5,23.0,0.491,0.5299,12.8,17.6,14.7,17.9,110,159,0.692,178,358,0.497,7,26,0.269,11.0,1.4,41.4,Jr,10-Jun,13,4.3974,120.501,2.8,2010,2610,all,47.4,1.11631598,78.0,109.0,100.0,249.0,0.7156,0.4016,30.0,32.0,0.9375,6.0,93.4571,88.0061,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,C,1.24524,1240.9985,185,384,0.4908854166666667,0.5299,PF,80.75,237.4,25.6,0.08,88.5,106.5,9.5,8.8,31.0,33.5,11.15,,3.29,10.0,109.6%,83.1,137.5,140.0,6.4,,1.0959752321981424,1.3188854489164086,1.4111204717775905,0.036407901925639086,0.26012018229166667
ELFRID PAYTON,Louisiana Lafayette,SB,32,90.2,107.4,29.5,0.516,0.5407,7.2,12.0,32.3,19.4,167,283,0.59,205,384,0.534,14,54,0.259,1.5,3.6,64.6,Jr,3-Jun,2,4.04504,120.01,2.6,2014,23685,all,,1.52068129,169.0,247.0,36.0,137.0,0.6842,0.2628,21.0,24.0,0.875,10.0,102.995,102.617,3.38689,234.903,6.78961,4.67287,2.11674,7.30451,36.9062,5.60237,1.70214,2.4375,3.8125,6.25,5.75,2.3438,0.5625,19.3438,Scoring PG,2.54993,1180.9984,219,438,0.5159817351598174,0.5407,PG,74.5,185.4,23.5,0.057,80.0,98.5,8.75,9.0,31.5,35.5,11.06,2.92,3.23,,107.4%,78.8,130.0,134.0,13.0,,1.0738255033557047,1.3221476510067114,,0.03340390072519256,0.2789913242009132
ERIC BLEDSOE,Kentucky,SEC,37,73.1,100.4,20.2,0.54,0.5656,2.0,8.6,16.8,27.7,82,123,0.667,95,184,0.516,49,128,0.383,1.1,2.6,39.4,Fr,1-Jun,24,2.15166,105.16,2.9,2010,12621,all,86.6,0.95536839,72.0,110.0,21.0,68.0,0.6545,0.3088,6.0,6.0,1.0,18.0,94.8649,90.0148,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,30.3243,0.921529,2.70493,0.5135,2.5676,3.0811,2.8919,1.4054,0.3243,11.3243,Combo G,6.41899,1121.9991,144,312,0.5400641025641025,0.5656,PG,72.25,191.6,25.8,0.056,79.5,98.0,8.5,9.8,,,,,,9.0,110.0%,82.9,,,8.2,,1.1003460207612457,1.356401384083045,,0.036704541372828386,0.30546025641025637
ERIC MAYNOR,VCU,CAA,34,88.0,117.3,32.6,0.524,0.5832999999999999,1.6,10.0,40.8,15.4,198,243,0.815,182,353,0.516,66,183,0.361,0.5,2.9,45.3,Sr,2-Jun,,6.51466,137.585,2.7,2009,295,all,24.4,2.07920961,,,,,,,,,,20.0,96.5092,95.9311,3.70657,211.625,8.6185,8.21306,0.405443,10.5694,35.4706,8.52288,2.04655,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529,,9.08832,1206.0004,248,536,0.5242537313432836,0.5832999999999999,PG,74.25,163.6,20.9,0.054,74.5,97.0,,,28.5,31.5,10.78,,3.19,8.0,100.3%,,125.5,128.5,6.3,,1.0033670033670035,1.3063973063973064,1.5403422982885087,0.029674976476323278,0.30579720149253725
EVAN TURNER,Ohio St.,B10,31,74.4,108.9,34.5,0.54,0.5815,7.4,23.5,37.5,21.7,138,182,0.758,217,402,0.54,20,55,0.364,2.9,3.0,39.8,Jr,7-Jun,21,6.2427,135.245,3.1,2010,1929,all,90.8,1.36028349,102.0,130.0,106.0,258.0,0.7846,0.4109,18.0,19.0,0.9474,2.0,88.4064,83.6938,5.29392,247.062,11.1906,5.66679,5.52382,11.2167,35.7419,6.94325,4.27342,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,Wing F,3.06818,1107.9989,237,457,0.5404814004376368,0.5815,SG,77.75,213.8,24.9,0.086,80.0,103.5,8.75,9.5,27.5,34.5,11.06,,3.27,9.0,102.9%,83.1,131.0,138.0,8.8,,1.0289389067524115,1.3311897106109325,1.452291861552853,0.03536770711634495,0.3142899343544858
FESTUS EZELI,Vanderbilt,SEC,26,41.4,99.2,25.7,0.539,0.5670000000000001,13.0,17.4,2.9,22.7,84,139,0.604,89,165,0.539,0,0,0.0,9.0,1.1,84.2,Sr,11-Jun,3.0,2.31139,113.208,5.4,2012,4250,all,77.0,0.13793259,78.0,106.0,11.0,59.0,0.7358,0.1864,31.0,32.0,0.9688,30.0,94.3157,88.3681,3.04194,125.658,3.13961,-0.768399,3.90801,2.71148,23.1923,-0.116285,2.82777,2.3846,3.5385,5.9231,0.3077,0.4231,2.0,10.0769,C,0.0,602.9997999999999,89,165,0.5393939393939394,0.5670000000000001,C-PF,81.75,264.2,27.8,0.055,89.75,108.0,9.0,10.8,34.0,33.5,12.35,,3.29,18.0,109.8%,96.8,142.0,141.5,5.5,,1.0978593272171253,1.3211009174311927,2.2823618470855416,0.03953277408373781,0.3058363636363637
FRANK KAMINSKY,Wisconsin,B10,39,81.4,126.2,28.1,0.59,0.6278,6.0,25.7,18.4,11.5,156,200,0.78,225,387,0.581,42,101,0.416,4.5,1.7,41.0,Sr,Jul-00,44.0,7.35994,148.904,2.0,2015,21292,all,51.8,1.63488926,137.0,180.0,88.0,207.0,0.7611,0.4251,31.0,34.0,0.9118,9.0,91.4999,85.5147,4.85492,266.979,13.7607,8.70054,5.06011,15.3813,33.6154,10.9093,4.47203,1.4872,6.7179,8.2051,2.641,0.8462,1.4615,18.7692,PF/C,5.1789,1311.0006,267,488,0.5901639344262295,0.6278,C-PF,83.75,231.2,23.2,0.094,83.0,109.5,8.5,9.5,,,,,,,99.1%,80.8,,,8.8,,0.991044776119403,1.3074626865671641,,0.03296235241701938,0.3705049180327869
GARY HARRIS,Michigan St.,B10,35,73.7,114.4,25.3,0.518,0.5608,4.0,10.2,16.8,12.7,115,142,0.81,114,225,0.507,81,230,0.352,1.6,3.4,31.2,So,4-Jun,14.0,4.73592,130.372,2.6,2014,26989,all,96.4,1.56664521,65.0,104.0,49.0,122.0,0.625,0.4016,22.0,22.0,1.0,19.0,98.3044,92.577,4.11667,208.288,8.43181,6.41981,2.012,9.34158,32.3143,6.39277,2.94881,1.0571,2.9429,4.0,2.6857,1.8,0.4286,16.7429,Combo G,12.2629,1131.0005,195,455,0.5175824175824176,0.5608,SG,74.5,204.8,25.9,0.046,78.75,96.0,8.5,9.5,,,,,,,105.7%,80.8,,,2.3,,1.0570469798657718,1.2885906040268456,,0.036899238773028246,0.29026021978021976
GERALD HENDERSON,Duke,ACC,37,74.1,110.6,27.2,0.494,0.5424,4.7,14.4,18.0,15.4,143,188,0.761,172,351,0.49,41,122,0.336,2.4,2.4,39.7,Jr,5-Jun,,4.38494,126.916,2.3,2009,2016,all,97.2,1.13749889,,,,,,,,,,12.0,94.2551,88.4646,3.88664,216.74,6.55578,4.30157,2.25421,8.56934,29.7297,6.30326,2.26608,1.2432,3.7027,4.9459,2.4595,1.2432,0.7568,16.4865,,6.37286,1099.9989,213,473,0.49365750528541225,0.5424,SG-SF,76.0,214.6,26.1,0.044,82.25,102.5,,,31.5,35.0,11.17,,3.14,8.0,108.2%,,134.0,137.5,2.5,,1.082236842105263,1.3486842105263157,1.30475302889096,0.03715373961218837,0.2677598308668076
GORDON HAYWARD,Butler,Horz,37,81.2,113.3,24.4,0.527,0.6013000000000001,7.6,23.4,12.1,17.5,179,216,0.829,126,213,0.592,47,160,0.294,2.8,2.0,57.9,So,9-Jun,20,4.5571,123.856,2.5,2010,6696,all,,0.72942144,89.0,128.0,34.0,77.0,0.6953,0.4416,19.0,20.0,0.95,9.0,88.9765,84.8713,4.82144,258.749,8.61433,3.93472,4.67961,8.95662,33.4865,5.68736,3.26926,1.9459,6.2973,8.2432,1.6757,1.0811,0.8108,15.4595,Stretch 4,8.05743,1239.0004999999999,173,373,0.5268096514745308,0.6013000000000001,SF,78.75,211.0,23.9,0.069,79.75,103.0,8.5,9.3,30.5,34.5,11.73,,3.22,10.0,101.3%,78.6,133.5,137.5,5.7,,1.0126984126984127,1.307936507936508,1.6350710900473933,0.03402368354749307,0.3167706434316354
GORGUI DIENG,Louisville,BE,33,63.1,112.6,18.2,0.534,0.5623,12.9,22.1,12.3,18.9,73,112,0.652,125,234,0.534,0,0,0.0,9.4,2.6,47.9,Jr,11-Jun,10,3.55453,117.475,3.3,2013,18642,all,91.6,1.11863081,71.0,104.0,54.0,130.0,0.6827,0.4154,23.0,26.0,0.8846,21.0,81.001,76.177,5.26508,252.025,13.4759,3.72605,9.74983,10.437,31.0909,4.59809,5.83893,3.4242,5.9697,9.3939,2.0,1.3333,2.5152,9.7879,C,0.0,1025.9997,125,234,0.5341880341880342,0.5623,C,81.75,229.6,24.2,0.054,87.5,111.5,9.0,10.0,,,,,,,107.0%,90.0,,,8.4,,1.070336391437309,1.363914373088685,,0.034355506925155946,0.3003739316239316
GREG MONROE,Georgetown,BE,34,85.6,106.8,27.5,0.534,0.5668,8.6,25.2,22.4,20.8,138,209,0.66,195,358,0.545,7,27,0.259,4.9,2.2,54.3,So,11-Jun,10,4.66555,123.778,3.0,2010,5531,all,98.6,1.14286144,154.0,238.0,33.0,102.0,0.6471,0.3235,21.0,22.0,0.9545,7.0,93.1304,86.8378,4.7123,266.081,8.07504,3.30906,4.76598,7.86202,34.2353,4.54337,3.31865,2.1765,7.4706,9.6471,3.7647,1.2353,1.5294,16.1471,PF/C,1.38046,1164.0002000000002,202,385,0.5337662337662338,0.5668,PF-C,81.75,246.6,25.9,0.112,86.25,108.5,8.75,9.5,25.0,29.0,12.1,,3.35,15.0,105.5%,83.1,133.5,137.5,14.7,,1.055045871559633,1.327217125382263,1.7639902676399026,0.03689925090480599,0.3025387012987013
GREIVIS VASQUEZ,Maryland,ACC,32,84.8,111.7,30.7,0.49700000000000005,0.5502,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,Sr,6-Jun,21,5.77909,133.611,2.4,2010,465,all,91.6,1.87964446,63.0,109.0,88.0,211.0,0.578,0.4171,4.0,4.0,1.0,28.0,97.2737,92.9583,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,Pure PG,9.6179,1098.0,218,506,0.49703557312252966,0.5502,PG-SG,77.0,210.8,25.0,0.086,79.0,101.0,7.75,9.3,,,,,,,102.6%,71.7,,,4.0,,1.025974025974026,1.3116883116883118,,0.035554056333277115,0.27346897233201584
HARRISON BARNES,North Carolina,ACC,38,72.9,108.2,26.0,0.48700000000000004,0.528,6.9,11.0,7.2,14.0,141,195,0.723,180,384,0.469,49,137,0.358,1.1,2.0,37.4,So,8-Jun,40.0,3.73661,121.301,2.4,2012,18910,all,100.0,0.58108249,66.0,90.0,113.0,293.0,0.7333,0.3857,34.0,34.0,1.0,7.0,94.6442,90.076,3.66786,212.697,5.538,4.02998,1.50802,6.00117,29.2368,4.32657,1.6746,1.9474,3.2632,5.2105,1.1316,1.0789,0.3421,17.0526,Wing F,6.72803,1110.9984,229,521,0.4865642994241843,0.528,SF-SG,79.0,227.8,25.7,0.096,83.25,101.5,9.0,8.5,38.0,39.5,10.93,,3.16,15.0,105.4%,76.5,139.5,141.0,9.2,,1.0537974683544304,1.2848101265822784,2.6009657594381035,0.03650056080756289,0.25690595009596934
HASHEEM THABEET,Connecticut,BE,35,75.1,118.7,19.4,0.644,0.6484000000000001,13.4,21.7,3.0,17.5,131,209,0.627,172,267,0.644,0,0,0.0,11.9,1.2,78.3,Jr,3-Jul,,4.14637,122.991,3.1,2009,2709,all,87.4,0.26153681,,,,,,,,,,2.0,83.8351,78.8458,5.07759,287.554,11.5125,3.53021,7.98233,11.2046,31.6286,5.13615,6.06841,3.6857,7.0286,10.7143,0.4857,0.6286,4.2,13.5714,,0.0,1107.001,172,267,0.6441947565543071,0.6484000000000001,C,85.25,267.2,25.8,0.067,90.25,113.0,,,,,,,,,105.9%,,,,6.3,,1.0586510263929618,1.3255131964809383,,0.03676610968257927,0.4176958801498128
IMAN SHUMPERT,Georgia Tech,ACC,31,79.4,107.1,28.7,0.45399999999999996,0.5172,5.8,16.4,25.7,14.6,141,175,0.806,135,285,0.474,42,151,0.278,0.7,5.0,40.1,Jr,5-Jun,1.0,4.23152,123.342,3.5,2011,7189,all,95.6,1.5000001,79.0,114.0,56.0,171.0,0.693,0.3275,19.0,25.0,0.76,17.0,91.788,88.6926,4.21159,225.934,8.39649,5.09881,3.29768,9.1732,32.0,5.2283,3.9449,1.7419,4.1935,5.9355,3.4839,2.7419,0.1935,17.3226,Combo G,8.79213,992.0,177,436,0.4541284403669725,0.5172,PG-SG,76.25,221.8,26.8,0.065,81.5,99.5,9.0,9.0,36.5,42.0,11.1,,3.18,18.0,106.9%,81.0,136.0,141.5,9.6,,1.0688524590163935,1.3049180327868852,3.4084761045987375,0.03814888470841172,0.23487522935779817
ISAIAH THOMAS,Washington,P10,35,79.1,114.3,27.2,0.517,0.5625,2.5,9.5,32.7,19.0,151,210,0.719,128,250,0.512,60,172,0.349,0.2,2.3,49.8,Jr,9-May,2.0,5.04539,130.894,2.7,2011,8712,all,57.6,2.0480918,85.0,126.0,43.0,124.0,0.6746,0.3468,1.0,3.0,0.3333,60.0,99.5797,94.9239,3.51267,197.365,6.44643,6.24487,0.201557,7.19152,31.8571,5.9993,1.19221,0.7429,2.7714,3.5143,6.0857,1.3429,0.0571,16.7714,Scoring PG,8.55836,1114.9985,188,422,0.5165876777251185,0.5625,PG,68.75,186.0,27.7,0.067,73.75,91.5,8.25,9.0,31.5,40.0,10.49,,3.14,13.0,107.3%,74.3,123.0,131.5,12.2,,1.0727272727272728,1.3309090909090908,2.795698924731183,0.03935206611570248,0.29058056872037913
ISAIAH WHITEHEAD,Seton Hall,BE,34,80.4,102.1,31.1,0.45799999999999996,0.5107,1.8,9.8,33.0,19.5,149,196,0.76,113,290,0.39,81,222,0.365,4.5,2.1,38.3,So,4-Jun,15.0,3.94973,122.333,2.8,2016,35622,all,97.4,1.45377145,47.0,96.0,66.0,193.0,0.4896,0.342,0.0,1.0,0.0,42.0,96.5495,92.2267,4.101,208.447,6.80136,3.7449,3.05647,8.41596,32.2941,5.97337,2.4426,0.5294,3.0588,3.5882,5.0882,1.1765,1.4412,18.1765,Scoring PG,11.3131,1097.9994,194,512,0.4580078125,0.5107,PG-SG,75.25,210.0,26.1,0.093,80.75,100.0,8.5,8.8,27.5,35.5,11.65,3.21,3.34,,107.3%,74.4,127.5,135.5,6.9,,1.0730897009966778,1.3289036544850499,,0.03708568338097813,0.23390458984375
JAJUAN JOHNSON,Purdue,B10,34,88.1,113.9,27.3,0.509,0.5636,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,Sr,10-Jun,25.0,5.65182,131.13,1.8,2011,203,all,91.6,0.58927814,49.0,74.0,193.0,395.0,0.6622,0.4886,23.0,26.0,0.8846,27.0,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824,2.3235,20.5294,PF/C,2.56606,1203.0015999999998,257,520,0.5086538461538461,0.5636,PF,81.0,219.8,23.6,0.075,86.0,107.5,9.0,10.0,33.5,38.0,11.21,,3.14,15.0,106.2%,90.0,141.0,145.5,3.1,,1.0617283950617284,1.3271604938271604,2.5932666060054594,0.0335009907026368,0.28667730769230765
JABARI PARKER,Duke,ACC,35,76.4,111.7,31.6,0.511,0.5577000000000001,11.4,23.1,8.7,14.5,160,214,0.748,198,393,0.504,38,106,0.358,4.0,2.1,42.9,Fr,8-Jun,1.0,5.00949,134.942,3.1,2014,32063,all,99.4,0.50615734,124.0,199.0,74.0,193.0,0.6231,0.3834,61.0,66.0,0.9242,2.0,98.2252,93.1302,3.87471,217.143,6.22828,4.13547,2.09281,6.84705,30.6571,6.33399,0.513063,3.0,5.7429,8.7429,1.1714,1.0571,1.2286,19.1429,PF/C,5.99369,1072.9985,236,499,0.5110220440881763,0.5577000000000001,,,,,,,,,,,,,,,,,,,,12.9,,,,,,0.28499699398797596
JAE CROWDER,Marquette,BE,35,82.4,122.3,22.0,0.568,0.5985,7.0,20.5,13.5,9.8,119,162,0.735,156,259,0.602,61,177,0.345,3.1,4.3,37.2,Sr,6-Jun,32.0,5.48984,132.374,3.2,2012,15568,all,,1.65913615,128.0,171.0,28.0,88.0,0.7485,0.3182,8.0,8.0,1.0,34.0,84.8446,81.1209,5.17007,311.979,13.2884,7.37385,5.91459,13.0841,32.9429,7.96643,5.1177,2.0,6.4,8.4,2.0857,2.5143,1.0,17.5429,Wing G,8.64561,1153.0015,217,436,0.5676605504587156,0.5985,SF,76.75,241.2,28.8,0.09,81.25,99.5,9.5,10.5,31.0,34.5,11.45,,3.37,20.0,105.9%,99.8,130.5,134.0,5.8,,1.0586319218241043,1.296416938110749,2.8606965174129355,0.040946853547517745,0.33974483944954126
JAHLIL OKAFOR,Duke,ACC,38,72.8,116.4,27.6,0.664,0.6414,14.8,18.2,9.4,18.2,99,194,0.51,279,420,0.664,0,0,0.0,4.5,1.5,46.2,Fr,11-Jun,15.0,5.13776,134.951,2.8,2015,38635,all,100.0,0.5158,213.0,270.0,66.0,150.0,0.7889,0.44,64.0,67.0,0.9552,3.0,94.5347,87.7919,4.1073,226.642,9.34057,5.72749,3.61308,9.53611,30.0789,7.26684,2.26927,3.5263,4.9474,8.4737,1.2895,0.7632,1.4211,17.2895,C,0.0,1142.9982,279,420,0.6642857142857143,0.6414,,,,,,,,,,,,,,,,,,,,16.6,,,,,,0.4260728571428571
JAKOB POELTL,Utah,P12,35,75.4,124.0,26.0,0.64,0.6623,11.9,22.0,13.9,14.9,161,231,0.697,222,347,0.64,0,0,0.0,4.8,1.2,66.6,So,Jul-00,42.0,5.55629,140.033,3.0,2016,35220,all,,0.95714998,199.0,284.0,23.0,62.0,0.7007,0.371,32.0,34.0,0.9412,9.0,98.6568,93.3991,3.76243,220.198,9.67869,5.88242,3.79626,9.74688,30.6,7.36804,2.37884,2.8286,6.2286,9.0571,1.9143,0.6,1.5143,17.2857,C,0.0,1071.0,222,347,0.6397694524495677,0.6623,C,84.25,239.0,23.7,0.058,86.75,111.5,9.25,10.3,,,,,,,103.0%,94.8,,,4.3,,1.029673590504451,1.3234421364985163,,0.03367116026380439,0.4237193083573487
JAMAL MURRAY,Kentucky,SEC,36,87.1,118.0,25.4,0.5589999999999999,0.59,4.9,11.1,12.1,15.3,119,152,0.783,131,261,0.502,113,277,0.408,0.9,1.6,28.3,Fr,4-Jun,23.0,5.57218,133.06,2.4,2016,41317,all,98.2,0.94047056,77.0,111.0,54.0,150.0,0.6937,0.36,18.0,19.0,0.9474,7.0,101.145,96.6981,3.89906,209.711,8.14115,7.25949,0.88166,8.97041,35.1944,8.14081,0.829595,1.4722,3.6944,5.1667,2.1944,0.9722,0.3056,20.0,Wing G,12.7837,1266.9984,244,538,0.5585501858736059,0.59,,,,,,,,,,,,,,,,,,,,7.3,,,,,,0.3295446096654275
JAMES HARDEN,Arizona St.,P10,35,88.3,112.8,32.6,0.5529999999999999,0.6065999999999999,5.5,14.6,29.2,19.0,204,270,0.756,163,289,0.564,58,163,0.356,1.1,3.1,59.7,So,5-Jun,,6.47615,137.102,3.2,2009,3638,all,97.4,1.25425636,,,,,,,,,,3.0,95.6385,89.5229,4.50387,234.839,10.3738,7.16968,3.20412,9.8125,35.8286,6.88906,2.92344,1.3714,4.2,5.5714,4.2286,1.6857,0.3143,20.1143,,8.55845,1254.001,221,452,0.5530973451327433,0.6065999999999999,SG,76.0,222.0,27.0,0.101,82.75,103.5,,,31.5,37.0,11.1,,3.13,17.0,108.9%,,135.0,140.5,9.7,,1.0888157894736843,1.361842105263158,2.8333333333333335,0.038434903047091414,0.3355088495575221
JAMES JOHNSON,Wake Forest,ACC,31,76.3,113.5,22.2,0.574,0.5931000000000001,9.6,19.2,12.3,18.5,69,99,0.697,165,276,0.598,22,69,0.319,5.0,2.5,28.7,So,8-Jun,,3.77828,119.948,3.8,2009,1634,all,82.0,0.83783671,,,,,,,,,,16.0,89.965,85.6534,4.3006,236.275,9.52538,4.79792,4.72746,8.39846,30.5161,5.0609,3.33757,2.5484,5.9677,8.5161,2.0,1.4194,1.5484,15.0,,3.83481,945.9991,187,345,0.5739130434782609,0.5931000000000001,SF-PF,79.0,257.2,29.0,0.12,84.75,105.5,,,30.5,35.0,11.21,,3.23,18.0,107.3%,,136.0,140.5,4.6,,1.0727848101265822,1.3354430379746836,2.44945567651633,0.041211344335843614,0.34038782608695656
