player,school,conf,gp,Min_per,ortg,usg,efg_pct_given,ts_pct_given,orb_pct,drb_pct,ast_pct,tov_pct,ftm,fta,ft_pct,twopm,twopa,twop_pct,fg3m,fg3a,fg3_pct,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,draft_year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mpg,ogbpm,dgbpm,oreb,dreb,trb_pg,ast_pg,stl_pg,blk_pg,pts_pg,Unnamed: 64,Unnamed: 65,minutes,fgm,fga,efg_pct,ts_pct,position,height_w_shoes_in,weight_lbs,bmi,body_fat_pct,wingspan_in,standing_reach_in,hand_length_in,hand_width_in,vert_no_step_in,vert_max_in,lane_agility_sec,shuttle_run_sec,three_quarter_sprint_sec,bench_reps,BAR,PAN,PBHGT,PDHGT,rookie_per,usage_proxy_per40,ws_ratio,reach_ratio,power_to_weight,bmi_like,shooting_split
DEJUAN BLAIR,Pittsburgh,BE,33,64.5,125.8,26.2,0.584,0.5932999999999999,23.7,27.6,9.3,11.0,97,160,0.606,209,358,0.584,0,0,0.0,3.6,3.5,44.7,So,7-Jun,,5.63645,143.628,4.1,2009,1313,all,93.8,0.93182334,,,,,,,,,,37.0,86.5716,81.3743,4.26263,236.863,14.0651,9.50593,4.55918,12.3283,27.3636,9.89913,2.42915,5.5758,6.7273,12.303,1.2424,1.6061,0.9091,15.6061,,0.0,902.9988000000001,209,358,0.5837988826815642,0.5932999999999999,PF,77.25,276.6,32.6,0.12,86.0,106.5,,,26.0,33.0,11.5,,3.45,18.0,111.3%,,132.5,139.5,11.1,,1.1132686084142396,1.3786407766990292,2.1475054229934925,0.04635058283847048,0.346367877094972
DEMAR DEROZAN,USC,P10,35,82.8,108.2,22.3,0.531,0.5550999999999999,9.3,11.6,9.6,17.1,95,147,0.646,186,331,0.562,6,36,0.167,1.2,1.6,40.1,Fr,7-Jun,,3.64464,115.966,2.5,2009,5417,all,99.0,0.69861438,,,,,,,,,,9.0,99.6449,91.3877,4.01033,189.502,4.60647,3.24057,1.3659,4.94133,33.3714,3.50114,1.44019,2.4,3.3429,5.7429,1.4571,0.8857,0.3714,13.8571,,1.88068,1167.999,192,367,0.5313351498637602,0.5550999999999999,SG-SF,77.5,211.2,24.7,0.049,81.0,102.5,,,29.0,38.5,11.88,,3.31,5.0,104.5%,,131.5,141.0,8.2,,1.0451612903225806,1.3225806451612903,0.9114583333333334,0.0351633714880333,0.2949441416893732
DEMARCUS COUSINS,Kentucky,SEC,38,58.2,113.5,30.8,0.56,0.5793,19.9,24.9,9.2,16.0,162,268,0.604,205,363,0.565,1,6,0.167,7.5,2.4,72.6,Fr,11-Jun,15.0,4.03974,134.534,5.5,2010,13656,all,99.6,0.487187,144.0,189.0,57.0,163.0,0.7619,0.3497,53.0,57.0,0.9298,5.0,83.3244,79.3387,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1.0,0.9737,1.7632,15.1316,C,0.377922,893.0,206,369,0.559620596205962,0.5793,C,81.5,291.8,30.9,0.164,89.75,113.0,9.25,10.0,23.5,27.5,11.4,,3.55,,110.1%,92.5,136.5,140.5,15.2,,1.1012269938650308,1.3865030674846626,,0.04393089690993263,0.32418821138211384
DEMARRE CARROLL,Missouri,B12,38,70.0,118.8,25.1,0.5760000000000001,0.5915,9.3,18.6,15.2,11.5,121,191,0.634,230,397,0.579,16,44,0.364,2.4,3.1,43.3,Sr,8-Jun,,4.732,132.97,3.2,2009,2446,all,72.8,1.46427362,,,,,,,,,,27.0,89.7454,85.9031,3.92175,248.047,10.1056,6.31798,3.78759,10.0423,28.0,7.33047,2.71187,2.4211,4.7632,7.1842,2.1579,1.5526,0.6579,16.5526,,2.25934,1064.0,246,441,0.5759637188208617,0.5915,PF-SF,78.25,207.2,23.8,0.063,82.0,105.0,,,,,,,,,104.8%,,,,3.5,,1.0479233226837061,1.34185303514377,,0.03383927568924864,0.3406825396825397
DENZEL VALENTINE,Michigan St.,B10,31,72.5,125.5,28.9,0.579,0.6082,3.0,21.1,45.8,17.1,81,95,0.853,101,210,0.481,104,234,0.444,0.7,1.9,21.4,Sr,5-Jun,45.0,6.8047,146.68,2.0,2016,26984,all,77.8,2.83533318,38.0,61.0,63.0,148.0,0.623,0.4257,5.0,7.0,0.7143,14.0,92.9687,90.6006,4.37033,210.009,14.386,11.2197,3.16625,14.5955,32.9677,11.0943,3.50124,0.8065,6.7097,7.5161,7.7742,1.0323,0.2258,19.1935,Pure PG,13.6418,1021.9987,205,444,0.5788288288288288,0.6082,SG-SF,76.0,210.4,25.6,0.092,82.75,102.0,8.5,9.8,27.0,32.0,10.51,3.22,3.46,,108.9%,82.9,129.0,134.0,2.3,,1.0888157894736843,1.3421052631578947,,0.03642659279778394,0.35204369369369365
DERRICK BROWN,Xavier,A10,34,71.7,118.5,23.1,0.5479999999999999,0.5870000000000001,10.2,13.9,14.8,15.5,99,132,0.75,127,243,0.523,36,87,0.414,2.9,1.4,40.0,Jr,8-Jun,,4.42573,127.488,3.3,2009,709,all,,1.06776931,,,,,,,,,,40.0,93.4717,90.0501,3.70848,187.036,8.61757,5.49839,3.11919,8.65609,29.6176,6.08346,2.57263,2.3824,3.7647,6.1471,1.8529,0.7059,0.8235,13.5588,,5.28275,1006.9984,163,330,0.5484848484848485,0.5870000000000001,SF-PF,79.5,224.6,25.0,0.086,86.5,107.5,,,30.5,35.5,11.26,,3.13,20.0,108.8%,,138.0,143.0,3.4,,1.0880503144654088,1.3522012578616351,3.161175422974176,0.03553656896483525,0.3219606060606061
DERRICK CARACTER,UTEP,CUSA,27,53.9,103.5,27.3,0.575,0.5984,12.0,21.7,9.0,22.2,80,119,0.672,144,246,0.585,4,15,0.267,3.6,2.1,45.6,Jr,9-Jun,4,2.80389,115.227,4.6,2010,359,all,95.4,0.38959989,85.0,123.0,59.0,123.0,0.6911,0.4797,11.0,11.0,1.0,58.0,89.4752,85.588,3.7413,156.91,3.73222,0.370877,3.36134,4.33394,26.6667,2.39652,1.93742,2.6667,5.4074,8.0741,1.1111,0.963,0.8519,14.0741,PF/C,1.14351,720.0009,148,261,0.5747126436781609,0.5984,PF,80.25,280.0,30.6,0.128,84.25,107.5,9.0,10.3,25.0,30.5,12.78,,3.61,22.0,105.0%,92.3,132.5,138.0,2.1,,1.0498442367601246,1.3395638629283488,2.3964285714285714,0.043477838918488755,0.3439080459770115
DERRICK FAVORS,Georgia Tech,ACC,35,69.2,109.0,21.8,0.615,0.6231,12.5,20.2,7.3,22.9,86,137,0.628,177,287,0.617,0,1,0.0,7.8,1.8,47.6,Fr,10-Jun,14,3.27092,118.568,3.8,2010,10724,all,100.0,0.38374508,137.0,175.0,40.0,112.0,0.7829,0.3571,53.0,56.0,0.9464,3.0,88.5618,84.2157,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,C,0.0579349,971.999,177,288,0.6145833333333334,0.6231,PF,80.75,245.2,26.4,0.065,88.0,110.0,8.75,9.3,31.5,35.5,11.74,,3.25,14.0,109.0%,80.9,141.5,145.5,9.4,,1.089783281733746,1.3622291021671826,2.0269168026101143,0.03760411774290945,0.382946875
DERRICK WILLIAMS,Arizona,P10,38,74.1,123.1,28.7,0.65,0.6897,11.8,21.9,8.7,18.2,247,331,0.746,184,306,0.601,42,74,0.568,2.3,1.9,87.1,So,8-Jun,23.0,5.94204,142.708,3.7,2011,12660,all,81.4,0.43000458,135.0,188.0,49.0,118.0,0.7181,0.4153,56.0,60.0,0.9333,2.0,96.0426,91.1963,3.67449,238.464,9.3455,7.30197,2.04352,11.2881,30.0263,9.33852,1.9496,2.7632,5.5,8.2632,1.1316,0.9737,0.6842,19.5,Wing F,3.87575,1140.9994,226,380,0.65,0.6897,PF-SF,79.25,248.4,27.8,0.108,85.5,108.0,9.0,9.8,29.0,34.5,11.03,,3.23,19.0,107.9%,87.8,137.0,142.5,8.5,,1.0788643533123028,1.362776025236593,2.638888888888889,0.03955059757784434,0.448305
DEVIN BOOKER,Kentucky,SEC,38,51.9,121.0,20.5,0.5710000000000001,0.6002000000000001,2.6,7.8,10.9,13.8,53,64,0.828,77,146,0.527,58,141,0.411,0.3,1.3,22.3,Fr,6-Jun,1.0,3.19131,128.601,2.8,2015,52495,all,95.8,1.13515453,42.0,59.0,35.0,88.0,0.7119,0.3977,8.0,9.0,0.8889,13.0,91.0701,86.245,3.04056,117.322,6.83479,5.679,1.15579,8.23184,21.5,5.91621,2.31563,0.4474,1.5526,2.0,1.1053,0.4474,0.0526,10.0263,Wing G,10.7706,817.0,135,287,0.5714285714285714,0.6002000000000001,SG,76.5,205.8,24.7,0.083,80.25,102.5,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0,104.9%,78.8,130.0,137.0,10.5,,1.0490196078431373,1.3398692810457515,1.3411078717201166,0.03516596180956043,0.3429714285714286
